test_case_id,food_matrix,cheese_category,temperature,packaging,indicator,ingredient,true_shelf_life_days,prediction_days,error_days,abs_error_days,pct_error,ground_truth_type,validation_priority,paper_url
TC057,ricotta,soft,4,vacuum,sensory_acceptability,none,7.5,8.447702407836914,0.9477024078369141,0.9477024078369141,12.636032104492188,APPROX_FROM_PAPER,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/27800345/
TC058,ricotta,soft,4,vacuum,total_viable_count,none,7.5,8.445709228515625,0.945709228515625,0.945709228515625,12.609456380208334,APPROX_FROM_PAPER,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/27800345/
TC013,fresh mozzarella,soft,7,sealed_container,mesophilic_bacteria,natamycin,8.0,8.907094955444336,0.9070949554443359,0.9070949554443359,11.3386869430542,EXACT,A_STRICT,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC064,galotyri,soft,4,sealed_container,lactobacillus_spp,none,14.5,15.384881973266602,0.8848819732666016,0.8848819732666016,6.102634298390355,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC065,galotyri,soft,4,sealed_container,lactococcus_spp,none,14.5,15.384881973266602,0.8848819732666016,0.8848819732666016,6.102634298390355,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC074,galotyri,soft,4,sealed_container,yeasts,nisin,18.5,17.659500122070312,-0.8404998779296875,0.8404998779296875,4.543242583403717,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC005,fresh mozzarella,soft,7,sealed_container,mesophilic_bacteria,carboxymethyl cellulose,8.0,7.172813415527344,-0.8271865844726562,0.8271865844726562,10.339832305908203,EXACT,A_STRICT,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC014,fresh mozzarella,soft,7,sealed_container,psychrophilic_bacteria,natamycin,8.0,8.819602012634277,0.8196020126342773,0.8196020126342773,10.245025157928467,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC010,fresh mozzarella,soft,7,sealed_container,psychrophilic_bacteria,natamycin,8.0,7.289809703826904,-0.7101902961730957,0.7101902961730957,8.877378702163696,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC007,fresh mozzarella,soft,7,sealed_container,lactic_acid_bacteria,carboxymethyl cellulose,8.0,7.458917617797852,-0.5410823822021484,0.5410823822021484,6.7635297775268555,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC063,galotyri,soft,4,sealed_container,sensory_acceptability,none,14.5,15.037442207336426,0.5374422073364258,0.5374422073364258,3.706497981630523,RANGE_MIDPOINT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC044,fresh cheese,soft,4,vacuum,yeasts_molds,none,18.0,18.530818939208984,0.5308189392089844,0.5308189392089844,2.94899410671658,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC009,fresh mozzarella,soft,7,sealed_container,mesophilic_bacteria,natamycin,8.0,7.569067478179932,-0.43093252182006836,0.43093252182006836,5.3866565227508545,EXACT,A_STRICT,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC072,galotyri,soft,4,sealed_container,lactobacillus_spp,nisin,18.5,18.894216537475582,0.3942165374755824,0.3942165374755824,2.1309002025707158,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC043,fresh cheese,soft,4,vacuum,enterobacteriaceae,none,18.0,17.609424591064453,-0.3905754089355469,0.3905754089355469,2.1698633829752607,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC042,fresh cheese,soft,4,vacuum,aerobic_plate_count,none,18.0,17.648296356201172,-0.3517036437988281,0.3517036437988281,1.9539091322157118,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC008,fresh mozzarella,soft,7,sealed_container,yeasts_molds,carboxymethyl cellulose,8.0,8.31295394897461,0.3129539489746094,0.3129539489746094,3.911924362182617,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC012,fresh mozzarella,soft,7,sealed_container,yeasts_molds,natamycin,8.0,7.720574855804443,-0.27942514419555664,0.27942514419555664,3.492814302444458,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC066,galotyri,soft,4,sealed_container,yeasts,none,14.5,14.74220848083496,0.24220848083495916,0.24220848083495916,1.6704033161031666,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC100,fresh cheese,soft,4,sealed_high_barrier,listeria_monocytogenes,chitosan,14.0,14.206628799438477,0.20662879943847656,0.20662879943847656,1.4759199959891183,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/27070568/
TC071,galotyri,soft,4,sealed_container,sensory_acceptability,nisin,18.5,18.31854820251465,-0.18145179748535156,0.18145179748535156,0.9808205269478463,RANGE_MIDPOINT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC045,fresh cheese,soft,4,vacuum,sensory_acceptability,none,18.0,17.819120407104492,-0.1808795928955078,0.1808795928955078,1.0048866271972656,LOWER_BOUND,B_LOWER_BOUND,https://pmc.ncbi.nlm.nih.gov/articles/PMC7270376/
TC073,galotyri,soft,4,sealed_container,lactococcus_spp,nisin,18.5,18.6217041015625,0.1217041015625,0.1217041015625,0.6578600084459459,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC011,fresh mozzarella,soft,7,sealed_container,lactic_acid_bacteria,natamycin,8.0,7.922461986541748,-0.07753801345825195,0.07753801345825195,0.9692251682281494,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
TC006,fresh mozzarella,soft,7,sealed_container,psychrophilic_bacteria,carboxymethyl cellulose,8.0,7.988627433776855,-0.01137256622314542,0.01137256622314542,0.14215707778931774,EXACT,B_OVERALL_SHELF_LIFE,https://www.sciencedirect.com/science/article/pii/S0141813022008996
